iteration	t (ms)	leakageParameters:E_L (mV)	leakageParameters:g_L (mS_per_cm2)	membraneParameters:Cm (microF_per_cm2)	potassiumChannelParameters:E_K (mV)	potassiumChannelParameters:g_K (milliS_per_cm2)	sodiumChannelParameters:E_Na (mV)	sodiumChannelParameters:g_Na (mS_per_cm2)	controller:i_stim (microA_per_cm2)	sodiumChannelEquations:Na_conductance (mS_per_cm2)	sodiumChannelEquations:i_Na (microA_per_cm2)	mGateEquations:alpha_m (per_ms)	mGateEquations:beta_m (per_ms)	hGateEquations:alpha_h (per_ms)	hGateEquations:beta_h (per_ms)	potassiumChannelEquations:i_K (microA_per_cm2)	nGateEquations:alpha_n (per_ms)	nGateEquations:beta_n (per_ms)	leakageEquations:i_L (microA_per_cm2)	membraneEquations:i_tot (microA_per_cm2)	importedGateM:X (dimensionless)	importedGateH:X (dimensionless)	importedGate:X (dimensionless)	membraneEquations:V (mV)
53	 0.53-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 39.9008	 -63.256	 8.34346	 0.00968921	 0.000309673	 0.999607	 36.8951	 0.00572601	 0.189805	 26.3444	 -0.0164875	 	0.981815	0.349472	0.304472	33.4148
54	 0.54-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 39.6901	 -62.9153	 8.34347	 0.00968912	 0.00030967	 0.999607	 36.6349	 0.00572593	 0.189805	 26.3445	 0.0640674	 	0.983237	0.34598	0.303933	33.4142
55	 0.55-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 39.4646	 -62.5831	 8.34341	 0.00968946	 0.00030968	 0.999607	 36.3765	 0.00572622	 0.189804	 26.3443	 0.137595	 	0.98454	0.342524	0.303396	33.4128
56	 0.56-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 39.2259	 -62.2586	 8.34327	 0.0096902	 0.000309702	 0.999607	 36.1196	 0.00572684	 0.189801	 26.3438	 0.204883	 	0.985735	0.339102	0.302861	33.4108
57	 0.57-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 38.9755	 -61.9411	 8.34307	 0.00969131	 0.000309733	 0.999607	 35.8645	 0.00572776	 0.189796	 26.3432	 0.266613	 	0.986829	0.335714	0.302326	33.4081
58	 0.58-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 38.7148	 -61.63	 8.3428	 0.00969274	 0.000309775	 0.999607	 35.611	 0.00572895	 0.189789	 26.3424	 0.323378	 	0.987833	0.332361	0.301792	33.4049
59	 0.59-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 38.4451	 -61.3249	 8.34248	 0.00969448	 0.000309825	 0.999607	 35.3592	 0.0057304	 0.189782	 26.3415	 0.375695	 	0.988752	0.32904	0.301259	33.4011
60	 0.6-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 38.1674	 -61.0253	 8.3421	 0.00969651	 0.000309883	 0.999607	 35.109	 0.00573209	 0.189773	 26.3403	 0.424019	 	0.989594	0.325753	0.300727	33.3969
61	 0.61-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 37.8828	 -60.7309	 8.34168	 0.00969879	 0.000309949	 0.999606	 34.8606	 0.00573399	 0.189763	 26.3391	 0.468751	 	0.990366	0.322499	0.300197	33.3922
62	 0.62-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 37.5922	 -60.4413	 8.34121	 0.00970132	 0.000310021	 0.999606	 34.6139	 0.00573609	 0.189752	 26.3377	 0.510247	 	0.991074	0.319278	0.299667	33.3871
63	 0.63-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 37.2965	 -60.1561	 8.3407	 0.00970407	 0.0003101	 0.999606	 34.3688	 0.00573839	 0.18974	 26.3361	 0.54882	 	0.991722	0.316088	0.299139	33.3816
64	 0.64-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 36.9964	 -59.8752	 8.34015	 0.00970703	 0.000310186	 0.999606	 34.1255	 0.00574085	 0.189727	 26.3345	 0.584752	 	0.992316	0.312931	0.298612	33.3757
65	 0.65-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 36.6927	 -59.5982	 8.33957	 0.00971018	 0.000310276	 0.999606	 33.8838	 0.00574348	 0.189713	 26.3327	 0.618294	 	0.992861	0.309805	0.298085	33.3696
66	 0.66-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 36.386	 -59.325	 8.33895	 0.00971352	 0.000310372	 0.999605	 33.6438	 0.00574626	 0.189698	 26.3309	 0.649669	 	0.99336	0.30671	0.29756	33.3631
67	 0.67-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 36.0769	 -59.0554	 8.33831	 0.00971702	 0.000310473	 0.999605	 33.4056	 0.00574918	 0.189683	 26.3289	 0.679079	 	0.993817	0.303646	0.297036	33.3563
68	 0.68-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 35.7658	 -58.7891	 8.33763	 0.00972069	 0.000310579	 0.999605	 33.169	 0.00575224	 0.189666	 26.3269	 0.706705	 	0.994236	0.300613	0.296513	33.3492
69	 0.69-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 35.4534	 -58.5261	 8.33692	 0.00972451	 0.000310688	 0.999604	 32.934	 0.00575542	 0.18965	 26.3248	 0.732711	 	0.99462	0.29761	0.295991	33.3419
70	 0.7-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 35.1399	 -58.2661	 8.33619	 0.00972847	 0.000310802	 0.999604	 32.7008	 0.00575872	 0.189632	 26.3226	 0.757243	 	0.994971	0.294638	0.295471	33.3343
71	 0.71-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 34.8258	 -58.009	 8.33543	 0.00973256	 0.00031092	 0.999604	 32.4692	 0.00576214	 0.189614	 26.3203	 0.780434	 	0.995294	0.291695	0.294951	33.3265
72	 0.72-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 34.5115	 -57.7548	 8.33466	 0.00973678	 0.000311041	 0.999604	 32.2392	 0.00576566	 0.189596	 26.318	 0.802406	 	0.995589	0.288781	0.294433	33.3185
73	 0.73-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 34.1972	 -57.5032	 8.33385	 0.00974112	 0.000311166	 0.999603	 32.0109	 0.00576928	 0.189577	 26.3155	 0.823267	 	0.99586	0.285897	0.293915	33.3102
74	 0.74-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 33.8832	 -57.2542	 8.33303	 0.00974558	 0.000311294	 0.999603	 31.7843	 0.00577299	 0.189557	 26.3131	 0.843117	 	0.996108	0.283041	0.293399	33.3018
75	 0.75-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 33.5699	 -57.0077	 8.33219	 0.00975014	 0.000311425	 0.999603	 31.5592	 0.0057768	 0.189537	 26.3105	 0.862046	 	0.996335	0.280214	0.292883	33.2932
76	 0.76-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 33.2573	 -56.7636	 8.33133	 0.00975481	 0.00031156	 0.999602	 31.3358	 0.0057807	 0.189517	 26.308	 0.880136	 	0.996543	0.277415	0.292369	33.2844
77	 0.77-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 32.9458	 -56.5219	 8.33045	 0.00975958	 0.000311697	 0.999602	 31.114	 0.00578468	 0.189496	 26.3053	 0.897464	 	0.996734	0.274644	0.291856	33.2754
78	 0.78-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 32.6354	 -56.2824	 8.32956	 0.00976445	 0.000311837	 0.999602	 30.8939	 0.00578875	 0.189475	 26.3026	 0.914095	 	0.996908	0.271901	0.291344	33.2663
79	 0.79-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 32.3265	 -56.0451	 8.32864	 0.00976941	 0.000311979	 0.999601	 30.6753	 0.00579289	 0.189453	 26.2999	 0.930095	 	0.997069	0.269186	0.290833	33.257
80	 0.8-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 32.019	 -55.8098	 8.32772	 0.00977446	 0.000312124	 0.999601	 30.4583	 0.0057971	 0.189431	 26.2971	 0.945518	 	0.997215	0.266497	0.290323	33.2475
81	 0.81-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 31.7132	 -55.5767	 8.32677	 0.0097796	 0.000312272	 0.9996	 30.2428	 0.00580139	 0.189409	 26.2943	 0.960419	 	0.99735	0.263836	0.289815	33.2379
82	 0.82-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 31.4092	 -55.3455	 8.32581	 0.00978482	 0.000312422	 0.9996	 30.029	 0.00580575	 0.189386	 26.2914	 0.974844	 	0.997473	0.261201	0.289307	33.2282
83	 0.83-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 31.107	 -55.1163	 8.32484	 0.00979012	 0.000312574	 0.9996	 29.8167	 0.00581018	 0.189363	 26.2885	 0.988837	 	0.997585	0.258592	0.2888	33.2183
84	 0.84-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 30.8068	 -54.889	 8.32385	 0.0097955	 0.000312729	 0.999599	 29.6059	 0.00581467	 0.18934	 26.2855	 1.00244	 	0.997689	0.256009	0.288295	33.2083
85	 0.85-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 30.5086	 -54.6635	 8.32285	 0.00980095	 0.000312886	 0.999599	 29.3967	 0.00581924	 0.189316	 26.2825	 1.01569	 	0.997783	0.253453	0.287791	33.1981
86	 0.86-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 30.2125	 -54.4398	 8.32184	 0.00980649	 0.000313045	 0.999598	 29.189	 0.00582386	 0.189292	 26.2794	 1.02861	 	0.99787	0.250921	0.287287	33.1878
87	 0.87-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 29.9186	 -54.2179	 8.32081	 0.00981209	 0.000313206	 0.999598	 28.9829	 0.00582855	 0.189268	 26.2763	 1.04125	 	0.997949	0.248416	0.286785	33.1774
