iteration	t(ms)	m	h	n	V(mV)	E_L(mV)	g_L(mS_per_cm2)	Cm(microF_per_cm2)	E_K(mV)	g_K(milliS_per_cm2)	E_Na(mV)	g_Na(mS_per_cm2)	i_stim(microA_per_cm2)	Na_conductance(mS_per_cm2)	i_Na(microA_per_cm2)	alpha_m(per_ms)	beta_m(per_ms)	alpha_h(per_ms)	beta_h(per_ms)	i_K(microA_per_cm2)	alpha_n(per_ms)	beta_n(per_ms)	i_L(microA_per_cm2)	i_tot(microA_per_cm2)
90	0.9	0.051349814	0.600244811	0.323449092	-75.30662364	-64.387	0.3	1	-87	36	40	120	0	0.009759947	-1.125366183	0.218912492	4.068250327	0.071074031	0.04606889	4.609419089	0.057173203	0.125476744	-3.275260715	0.208792192
91	0.91	0.051336947	0.600252492	0.323429986	-75.30869431	-64.387	0.3	1	-87	36	40	120	0	0.009752732	-1.124554575	0.218880895	4.068722254	0.071081452	0.046059715	4.60750879	0.057166228	0.125480019	-3.275887091	0.207067125
92	0.92	0.051324093	0.600260247	0.323410859	-75.31074783	-64.387	0.3	1	-87	36	40	120	0	0.009745527	-1.12374397	0.218849564	4.069190336	0.071088811	0.046050618	4.605604562	0.05715931	0.125483267	-3.276508293	0.205352299
93	0.93	0.051311258	0.600268077	0.323391709	-75.31278431	-64.387	0.3	1	-87	36	40	120	0	0.009738335	-1.12293464	0.218818496	4.069654594	0.071096111	0.046041598	4.603706389	0.057152451	0.125486488	-3.277124349	0.203647399
94	0.94	0.051298445	0.600275981	0.323372538	-75.31480383	-64.387	0.3	1	-87	36	40	120	0	0.009731157	-1.122126844	0.218787689	4.07011505	0.07110335	0.046032654	4.601814258	0.057145649	0.125489682	-3.277735292	0.201952123
95	0.95	0.051285658	0.600283957	0.323353346	-75.31680649	-64.387	0.3	1	-87	36	40	120	0	0.009723997	-1.121320827	0.218757143	4.070571725	0.07111053	0.046023786	4.599928159	0.057138904	0.12549285	-3.278341148	0.200266184
96	0.96	0.051272899	0.600292005	0.323334134	-75.31879238	-64.387	0.3	1	-87	36	40	120	0	0.009716856	-1.12051682	0.218726855	4.071024638	0.071117651	0.046014994	4.598048079	0.057132216	0.125495992	-3.278941947	0.198589312
97	0.97	0.051260172	0.600300124	0.323314902	-75.32076159	-64.387	0.3	1	-87	36	40	120	0	0.009709736	-1.119715044	0.218696825	4.071473808	0.071124713	0.046006277	4.596174007	0.057125585	0.125499107	-3.279537714	0.196921249
98	0.98	0.051247481	0.600308314	0.32329565	-75.32271421	-64.387	0.3	1	-87	36	40	120	0	0.009702639	-1.118915707	0.21866705	4.071919255	0.071131717	0.045997635	4.594305935	0.05711901	0.125502196	-3.280128478	0.19526175
99	0.99	0.051234828	0.600316573	0.32327638	-75.32465032	-64.387	0.3	1	-87	36	40	120	0	0.009695566	-1.118119005	0.21863753	4.072360995	0.071138662	0.045989068	4.592443853	0.057112491	0.125505259	-3.280714263	0.193610585
100	1	0.051222215	0.600324901	0.323257091	-75.32656999	-64.387	0.3	1	-87	36	40	120	0	0.00968852	-1.117325125	0.218608262	4.072799048	0.071145549	0.045980574	4.590587754	0.057106028	0.125508297	-3.281295095	0.191967534
101	1.01	0.051209646	0.600333297	0.323237785	-75.32847332	-64.387	0.3	1	-87	36	40	120	0	0.0096815	-1.116534244	0.218579247	4.07323343	0.071152378	0.045972154	4.588737629	0.05709962	0.125511309	-3.281870998	0.190332387
102	1.02	0.051197123	0.60034176	0.323218461	-75.33036037	-64.387	0.3	1	-87	36	40	120	0	0.009674511	-1.115746528	0.218550482	4.073664157	0.071159149	0.045963807	4.586893471	0.057093267	0.125514295	-3.282441995	0.188704948
103	1.03	0.051184648	0.60035029	0.32319912	-75.33223122	-64.387	0.3	1	-87	36	40	120	0	0.009667551	-1.114962136	0.218521966	4.074091246	0.071165864	0.045955533	4.585055275	0.05708697	0.125517255	-3.28300811	0.18708503
104	1.04	0.051172224	0.600358886	0.323179762	-75.33408594	-64.387	0.3	1	-87	36	40	120	0	0.009660623	-1.114181216	0.218493698	4.074514714	0.071172521	0.045947331	4.583223035	0.057080726	0.125520191	-3.283569365	0.185472454
105	1.05	0.051159852	0.600367547	0.323160389	-75.33592461	-64.387	0.3	1	-87	36	40	120	0	0.009653728	-1.113403909	0.218465677	4.074934574	0.071179122	0.045939201	4.581396745	0.057074537	0.125523101	-3.284125782	0.183867053
106	1.06	0.051147535	0.600376272	0.323141	-75.3377473	-64.387	0.3	1	-87	36	40	120	0	0.009646867	-1.112630348	0.218437902	4.075350843	0.071185666	0.045931143	4.5795764	0.057068403	0.125525986	-3.284677383	0.182268669
